precinct,age_group,estimate,units
410050000,10 to 14 years,163.31745,People
410050000,15 to 17 years,103.535014,People
410050000,18 and 19 years,11.099093,People
410050000,20 years,0.083954,People
410050000,21 years,15.956216,People
410050000,22 to 24 years,72.699344,People
410050000,25 to 29 years,84.034883,People
410050000,30 to 34 years,121.158176,People
410050000,35 to 39 years,98.699418,People
410050000,40 to 44 years,122.98148800000001,People
410050000,45 to 49 years,158.166461,People
410050000,5 to 9 years,91.971342,People
410050000,50 to 54 years,181.135784,People
410050000,55 to 59 years,190.012438,People
410050000,60 and 61 years,59.45534500000001,People
410050000,62 to 64 years,85.92326700000001,People
410050000,65 and 66 years,52.45779399999999,People
410050000,67 to 69 years,95.726909,People
410050000,70 to 74 years,100.10200400000001,People
410050000,75 to 79 years,77.886382,People
410050000,80 to 84 years,44.348968,People
410050000,85 years and over,13.894423999999999,People
410050000,Under 5 years,66.634345,People
410050001,10 to 14 years,159.38938000000002,People
410050001,15 to 17 years,76.369495,People
410050001,18 and 19 years,44.510086,People
410050001,20 years,21.393705,People
410050001,21 years,15.739015,People
410050001,22 to 24 years,50.355514,People
410050001,25 to 29 years,106.896638,People
410050001,30 to 34 years,159.475867,People
410050001,35 to 39 years,188.673665,People
410050001,40 to 44 years,128.429847,People
410050001,45 to 49 years,160.237976,People
410050001,5 to 9 years,131.489642,People
410050001,50 to 54 years,179.557215,People
410050001,55 to 59 years,144.386706,People
410050001,60 and 61 years,40.733173,People
410050001,62 to 64 years,91.053712,People
410050001,65 and 66 years,50.947843,People
410050001,67 to 69 years,100.85390799999999,People
410050001,70 to 74 years,110.872005,People
410050001,75 to 79 years,75.764796,People
410050001,80 to 84 years,35.952040000000004,People
410050001,85 years and over,35.827314,People
410050001,Under 5 years,133.87627,People
410050002,10 to 14 years,61.31776300000001,People
410050002,15 to 17 years,28.645956,People
410050002,18 and 19 years,17.886361,People
410050002,20 years,12.322508000000001,People
410050002,21 years,16.239921,People
410050002,22 to 24 years,43.905839,People
410050002,25 to 29 years,68.22618800000001,People
410050002,30 to 34 years,131.42342200000002,People
410050002,35 to 39 years,89.499373,People
410050002,40 to 44 years,52.250983999999995,People
410050002,45 to 49 years,73.382192,People
410050002,5 to 9 years,71.958008,People
410050002,50 to 54 years,90.86926,People
410050002,55 to 59 years,96.617289,People
410050002,60 and 61 years,43.545467,People
410050002,62 to 64 years,69.791838,People
410050002,65 and 66 years,41.313066,People
410050002,67 to 69 years,37.244258,People
410050002,70 to 74 years,75.350455,People
410050002,75 to 79 years,55.177234,People
410050002,80 to 84 years,16.992734000000002,People
410050002,85 years and over,29.811341,People
410050002,Under 5 years,139.298917,People
410050003,10 to 14 years,150.99942,People
410050003,15 to 17 years,64.727535,People
410050003,18 and 19 years,86.521518,People
410050003,20 years,29.413992,People
410050003,21 years,25.962301999999998,People
410050003,22 to 24 years,81.839884,People
410050003,25 to 29 years,142.329555,People
410050003,30 to 34 years,150.164253,People
410050003,35 to 39 years,243.95788199999998,People
410050003,40 to 44 years,196.942799,People
410050003,45 to 49 years,156.083589,People
410050003,5 to 9 years,102.06891,People
410050003,50 to 54 years,185.315015,People
410050003,55 to 59 years,183.151567,People
410050003,60 and 61 years,58.824489,People
410050003,62 to 64 years,104.345671,People
410050003,65 and 66 years,38.45166,People
410050003,67 to 69 years,103.747185,People
410050003,70 to 74 years,89.789352,People
410050003,75 to 79 years,71.884232,People
410050003,80 to 84 years,26.436714,People
410050003,85 years and over,43.385946,People
410050003,Under 5 years,181.754562,People
410050004,10 to 14 years,480.37938999999994,People
410050004,15 to 17 years,306.924789,People
410050004,18 and 19 years,169.71793399999999,People
410050004,20 years,123.55962699999999,People
410050004,21 years,43.722370000000005,People
410050004,22 to 24 years,257.738823,People
410050004,25 to 29 years,441.72646399999996,People
410050004,30 to 34 years,505.28013,People
410050004,35 to 39 years,599.637316,People
410050004,40 to 44 years,541.904211,People
410050004,45 to 49 years,446.29450699999995,People
410050004,5 to 9 years,372.38903999999997,People
410050004,50 to 54 years,666.054115,People
410050004,55 to 59 years,538.93841,People
410050004,60 and 61 years,265.606301,People
410050004,62 to 64 years,280.67776100000003,People
410050004,65 and 66 years,157.59639299999998,People
410050004,67 to 69 years,202.655956,People
410050004,70 to 74 years,265.371836,People
410050004,75 to 79 years,178.193621,People
410050004,80 to 84 years,140.746829,People
410050004,85 years and over,115.18707199999999,People
410050004,Under 5 years,635.924904,People
410050005,10 to 14 years,244.990041,People
410050005,15 to 17 years,110.729275,People
410050005,18 and 19 years,79.571449,People
410050005,20 years,38.535292,People
410050005,21 years,19.793663,People
410050005,22 to 24 years,63.98581,People
410050005,25 to 29 years,210.732802,People
410050005,30 to 34 years,230.47072,People
410050005,35 to 39 years,217.359948,People
410050005,40 to 44 years,210.928213,People
410050005,45 to 49 years,211.506993,People
410050005,5 to 9 years,182.21168600000001,People
410050005,50 to 54 years,213.143207,People
410050005,55 to 59 years,163.562089,People
410050005,60 and 61 years,51.274062,People
410050005,62 to 64 years,108.88639599999999,People
410050005,65 and 66 years,65.970318,People
410050005,67 to 69 years,102.784582,People
410050005,70 to 74 years,152.988135,People
410050005,75 to 79 years,87.618837,People
410050005,80 to 84 years,57.829667,People
410050005,85 years and over,45.667168000000004,People
410050005,Under 5 years,207.567976,People
410050006,10 to 14 years,315.94053099999996,People
410050006,15 to 17 years,207.98947,People
410050006,18 and 19 years,115.60156400000001,People
410050006,20 years,67.16024399999999,People
410050006,21 years,20.792808,People
410050006,22 to 24 years,83.47138199999999,People
410050006,25 to 29 years,204.635044,People
410050006,30 to 34 years,279.719045,People
410050006,35 to 39 years,426.65831099999997,People
410050006,40 to 44 years,279.901529,People
410050006,45 to 49 years,316.945418,People
410050006,5 to 9 years,291.50480699999997,People
410050006,50 to 54 years,331.893528,People
410050006,55 to 59 years,280.258874,People
410050006,60 and 61 years,47.814257,People
410050006,62 to 64 years,138.272592,People
410050006,65 and 66 years,63.745031,People
410050006,67 to 69 years,140.711332,People
410050006,70 to 74 years,206.980297,People
410050006,75 to 79 years,131.025147,People
410050006,80 to 84 years,44.109047999999994,People
410050006,85 years and over,56.92513,People
410050006,Under 5 years,311.41348,People
410050007,10 to 14 years,252.230627,People
410050007,15 to 17 years,146.747044,People
410050007,18 and 19 years,97.886471,People
410050007,20 years,71.04864400000001,People
410050007,21 years,29.004643,People
410050007,22 to 24 years,71.55648000000001,People
410050007,25 to 29 years,213.97233,People
410050007,30 to 34 years,174.792922,People
410050007,35 to 39 years,223.432483,People
410050007,40 to 44 years,261.133937,People
410050007,45 to 49 years,238.403734,People
410050007,5 to 9 years,162.816238,People
410050007,50 to 54 years,146.345115,People
410050007,55 to 59 years,132.618272,People
410050007,60 and 61 years,77.038812,People
410050007,62 to 64 years,126.18881400000001,People
410050007,65 and 66 years,63.104776,People
410050007,67 to 69 years,115.635052,People
410050007,70 to 74 years,155.68237,People
410050007,75 to 79 years,64.948423,People
410050007,80 to 84 years,59.014158,People
410050007,85 years and over,77.17261500000001,People
410050007,Under 5 years,275.568053,People
410050010,10 to 14 years,48,People
410050010,15 to 17 years,118,People
410050010,18 and 19 years,78,People
410050010,20 years,64,People
410050010,21 years,58,People
410050010,22 to 24 years,120,People
410050010,25 to 29 years,54,People
410050010,30 to 34 years,154,People
410050010,35 to 39 years,310,People
410050010,40 to 44 years,40,People
410050010,45 to 49 years,132,People
410050010,5 to 9 years,144,People
410050010,50 to 54 years,478,People
410050010,55 to 59 years,474,People
410050010,60 and 61 years,136,People
410050010,62 to 64 years,98,People
410050010,65 and 66 years,84,People
410050010,67 to 69 years,82,People
410050010,70 to 74 years,120,People
410050010,75 to 79 years,146,People
410050010,80 to 84 years,34,People
410050010,85 years and over,0,People
410050010,Under 5 years,166,People
410050031,10 to 14 years,339.427572,People
410050031,15 to 17 years,161.80133,People
410050031,18 and 19 years,32.203378,People
410050031,20 years,15.461565,People
410050031,21 years,56.057344,People
410050031,22 to 24 years,62.10632699999999,People
410050031,25 to 29 years,133.619027,People
410050031,30 to 34 years,155.36968099999999,People
410050031,35 to 39 years,206.686101,People
410050031,40 to 44 years,125.531015,People
410050031,45 to 49 years,254.70617,People
410050031,5 to 9 years,223.583832,People
410050031,50 to 54 years,126.401102,People
410050031,55 to 59 years,129.39592399999998,People
410050031,60 and 61 years,84.666428,People
410050031,62 to 64 years,95.254912,People
410050031,65 and 66 years,41.93563,People
410050031,67 to 69 years,54.880786,People
