precinct,education,estimate,units
410050000,"9th to 12th grade, no diploma",0.269493,People
410050000,Associate's degree,68.2086,People
410050000,Bachelor's degree,728.744057,People
410050000,Graduate or professional degree,482.227994,People
410050000,High school graduate (includes equivalency),90.735631,People
410050000,Less than 9th grade,0.714437,People
410050000,"Some college, no degree",204.099863,People
410050001,"9th to 12th grade, no diploma",85.149823,People
410050001,Associate's degree,192.92685400000002,People
410050001,Bachelor's degree,335.811612,People
410050001,Graduate or professional degree,142.526453,People
410050001,High school graduate (includes equivalency),478.59704,People
410050001,Less than 9th grade,24.578282,People
410050001,"Some college, no degree",458.23315,People
410050002,"9th to 12th grade, no diploma",45.813966,People
410050002,Associate's degree,113.613823,People
410050002,Bachelor's degree,246.985142,People
410050002,Graduate or professional degree,81.704985,People
410050002,High school graduate (includes equivalency),249.35501,People
410050002,Less than 9th grade,13.387356,People
410050002,"Some college, no degree",307.56971400000003,People
410050003,"9th to 12th grade, no diploma",167.604754,People
410050003,Associate's degree,172.78427299999998,People
410050003,Bachelor's degree,282.028774,People
410050003,Graduate or professional degree,130.768391,People
410050003,High school graduate (includes equivalency),668.0132669999999,People
410050003,Less than 9th grade,29.394609999999997,People
410050003,"Some college, no degree",533.342427,People
410050004,"9th to 12th grade, no diploma",231.490625,People
410050004,Associate's degree,607.927225,People
410050004,Bachelor's degree,1354.746897,People
410050004,Graduate or professional degree,395.529036,People
410050004,High school graduate (includes equivalency),1337.196375,People
410050004,Less than 9th grade,273.525756,People
410050004,"Some college, no degree",1685.003431,People
410050005,"9th to 12th grade, no diploma",119.80835,People
410050005,Associate's degree,259.882788,People
410050005,Bachelor's degree,428.798565,People
410050005,Graduate or professional degree,147.047328,People
410050005,High school graduate (includes equivalency),582.092789,People
410050005,Less than 9th grade,54.75563,People
410050005,"Some college, no degree",705.287569,People
410050006,"9th to 12th grade, no diploma",153.95099299999998,People
410050006,Associate's degree,374.882793,People
410050006,Bachelor's degree,603.712922,People
410050006,Graduate or professional degree,167.677189,People
410050006,High school graduate (includes equivalency),806.017863,People
410050006,Less than 9th grade,48.22148,People
410050006,"Some college, no degree",1046.7738729999999,People
410050007,"9th to 12th grade, no diploma",144.19074,People
410050007,Associate's degree,267.39263900000003,People
410050007,Bachelor's degree,386.255407,People
410050007,Graduate or professional degree,146.344954,People
410050007,High school graduate (includes equivalency),609.940825,People
410050007,Less than 9th grade,50.007437,People
410050007,"Some college, no degree",758.292308,People
410050010,"9th to 12th grade, no diploma",38,People
410050010,Associate's degree,444,People
410050010,Bachelor's degree,734,People
410050010,Graduate or professional degree,258,People
410050010,High school graduate (includes equivalency),582,People
410050010,Less than 9th grade,50,People
410050010,"Some college, no degree",556,People
410050031,"9th to 12th grade, no diploma",101.44601899999999,People
410050031,Associate's degree,209.29274999999998,People
410050031,Bachelor's degree,320.81350799999996,People
410050031,Graduate or professional degree,100.34363099999999,People
410050031,High school graduate (includes equivalency),445.673265,People
410050031,Less than 9th grade,44.275051,People
410050031,"Some college, no degree",559.9441009999999,People
410050032,"9th to 12th grade, no diploma",109.097266,People
410050032,Associate's degree,148.07146400000002,People
410050032,Bachelor's degree,300.313212,People
410050032,Graduate or professional degree,61.242008000000006,People
410050032,High school graduate (includes equivalency),327.936726,People
410050032,Less than 9th grade,10.018092,People
410050032,"Some college, no degree",477.380814,People
410050033,"9th to 12th grade, no diploma",103.238891,People
410050033,Associate's degree,145.979719,People
410050033,Bachelor's degree,345.650603,People
410050033,Graduate or professional degree,62.840292,People
410050033,High school graduate (includes equivalency),436.70165199999997,People
410050033,Less than 9th grade,0.479928,People
410050033,"Some college, no degree",374.943081,People
410050051,"9th to 12th grade, no diploma",26.914717,People
410050051,Associate's degree,108.034559,People
410050051,Bachelor's degree,310.800028,People
410050051,Graduate or professional degree,186.03846700000003,People
410050051,High school graduate (includes equivalency),169.128863,People
410050051,Less than 9th grade,8.878225,People
410050051,"Some college, no degree",298.670322,People
410050052,"9th to 12th grade, no diploma",66.86499,People
410050052,Associate's degree,93.23417,People
410050052,Bachelor's degree,371.772803,People
410050052,Graduate or professional degree,146.436417,People
410050052,High school graduate (includes equivalency),431.99946800000004,People
410050052,Less than 9th grade,3.3013879999999998,People
410050052,"Some college, no degree",394.543275,People
410050053,"9th to 12th grade, no diploma",50.298845,People
410050053,Associate's degree,98.778676,People
410050053,Bachelor's degree,204.48802899999998,People
410050053,Graduate or professional degree,124.619259,People
410050053,High school graduate (includes equivalency),251.652474,People
410050053,Less than 9th grade,13.482404,People
410050053,"Some college, no degree",325.511263,People
410050054,"9th to 12th grade, no diploma",68.049144,People
410050054,Associate's degree,122.241288,People
410050054,Bachelor's degree,406.54646099999997,People
410050054,Graduate or professional degree,205.62909199999999,People
410050054,High school graduate (includes equivalency),335.002512,People
410050054,Less than 9th grade,12.332234,People
410050054,"Some college, no degree",362.109576,People
410050055,"9th to 12th grade, no diploma",65.542121,People
410050055,Associate's degree,104.938337,People
410050055,Bachelor's degree,222.80975600000002,People
410050055,Graduate or professional degree,76.350469,People
410050055,High school graduate (includes equivalency),335.004612,People
410050055,Less than 9th grade,23.815089999999998,People
410050055,"Some college, no degree",394.87348299999996,People
410050070,"9th to 12th grade, no diploma",32,People
410050070,Associate's degree,138,People
410050070,Bachelor's degree,1356,People
410050070,Graduate or professional degree,1198,People
410050070,High school graduate (includes equivalency),128,People
410050070,Less than 9th grade,0,People
410050070,"Some college, no degree",460,People
410050071,"9th to 12th grade, no diploma",8.000367,People
410050071,Associate's degree,150.99794599999998,People
410050071,Bachelor's degree,388.00086999999996,People
410050071,Graduate or professional degree,213.998374,People
410050071,High school graduate (includes equivalency),122.00105599999999,People
410050071,Less than 9th grade,11.000964,People
410050071,"Some college, no degree",279.00070900000003,People
410050072,"9th to 12th grade, no diploma",400.529768,People
410050072,Associate's degree,395.775492,People
410050072,Bachelor's degree,1892.29321,People
410050072,Graduate or professional degree,730.793086,People
410050072,High school graduate (includes equivalency),2377.308498,People
410050072,Less than 9th grade,108.50943899999999,People
410050072,"Some college, no degree",1986.791272,People
