precinct,hh_income,estimate,units
410050000,"$10,000 to $14,999",19.009926,Households
410050000,"$100,000 to $124,999",78.983576,Households
410050000,"$125,000 to $149,999",77.361187,Households
410050000,"$15,000 to $19,999",13.205578000000001,Households
410050000,"$150,000 to $199,999",121.268281,Households
410050000,"$20,000 to $24,999",33.182300999999995,Households
410050000,"$200,000 or more",289.200285,Households
410050000,"$25,000 to $29,999",19.105451000000002,Households
410050000,"$30,000 to $34,999",3.971836,Households
410050000,"$35,000 to $39,999",11.789641999999999,Households
410050000,"$40,000 to $44,999",22.523222,Households
410050000,"$45,000 to $49,999",7.93936,Households
410050000,"$50,000 to $59,999",20.816609999999997,Households
410050000,"$60,000 to $74,999",20.281118,Households
410050000,"$75,000 to $99,999",73.07382799999999,Households
410050000,"Less than $10,000",11.876216,Households
410050001,"$10,000 to $14,999",16.341097,Households
410050001,"$100,000 to $124,999",131.758646,Households
410050001,"$125,000 to $149,999",76.977902,Households
410050001,"$15,000 to $19,999",19.255189,Households
410050001,"$150,000 to $199,999",82.34395,Households
410050001,"$20,000 to $24,999",8.235367,Households
410050001,"$200,000 or more",61.246329,Households
410050001,"$25,000 to $29,999",34.937187,Households
410050001,"$30,000 to $34,999",22.737669,Households
410050001,"$35,000 to $39,999",12.794461,Households
410050001,"$40,000 to $44,999",32.060327,Households
410050001,"$45,000 to $49,999",14.658561,Households
410050001,"$50,000 to $59,999",66.546079,Households
410050001,"$60,000 to $74,999",84.615545,Households
410050001,"$75,000 to $99,999",156.712466,Households
410050001,"Less than $10,000",10.121153,Households
410050002,"$10,000 to $14,999",20.206147,Households
410050002,"$100,000 to $124,999",37.555611999999996,Households
410050002,"$125,000 to $149,999",58.234571,Households
410050002,"$15,000 to $19,999",15.312327,Households
410050002,"$150,000 to $199,999",58.809255,Households
410050002,"$20,000 to $24,999",10.347684000000001,Households
410050002,"$200,000 or more",37.635735,Households
410050002,"$25,000 to $29,999",9.362192,Households
410050002,"$30,000 to $34,999",9.115726,Households
410050002,"$35,000 to $39,999",16.593972,Households
410050002,"$40,000 to $44,999",27.401249,Households
410050002,"$45,000 to $49,999",8.953725,Households
410050002,"$50,000 to $59,999",29.441923,Households
410050002,"$60,000 to $74,999",75.62383799999999,Households
410050002,"$75,000 to $99,999",82.522583,Households
410050002,"Less than $10,000",24.079696000000002,Households
410050003,"$10,000 to $14,999",6.383877,Households
410050003,"$100,000 to $124,999",122.76549999999999,Households
410050003,"$125,000 to $149,999",57.711278,Households
410050003,"$15,000 to $19,999",28.931388,Households
410050003,"$150,000 to $199,999",89.723781,Households
410050003,"$20,000 to $24,999",27.307367,Households
410050003,"$200,000 or more",41.60175,Households
410050003,"$25,000 to $29,999",47.8791,Households
410050003,"$30,000 to $34,999",34.646606,Households
410050003,"$35,000 to $39,999",13.930192,Households
410050003,"$40,000 to $44,999",53.877218,Households
410050003,"$45,000 to $49,999",25.412784,Households
410050003,"$50,000 to $59,999",83.62009400000001,Households
410050003,"$60,000 to $74,999",106.316067,Households
410050003,"$75,000 to $99,999",139.43781099999998,Households
410050003,"Less than $10,000",25.737623,Households
410050004,"$10,000 to $14,999",19.343799999999998,Households
410050004,"$100,000 to $124,999",282.424087,Households
410050004,"$125,000 to $149,999",342.792039,Households
410050004,"$15,000 to $19,999",9.98789,Households
410050004,"$150,000 to $199,999",213.844764,Households
410050004,"$20,000 to $24,999",43.920518,Households
410050004,"$200,000 or more",359.241302,Households
410050004,"$25,000 to $29,999",68.079074,Households
410050004,"$30,000 to $34,999",71.780815,Households
410050004,"$35,000 to $39,999",136.399167,Households
410050004,"$40,000 to $44,999",88.698048,Households
410050004,"$45,000 to $49,999",64.269236,Households
410050004,"$50,000 to $59,999",143.67094699999998,Households
410050004,"$60,000 to $74,999",333.46579499999996,Households
410050004,"$75,000 to $99,999",425.73929999999996,Households
410050004,"Less than $10,000",53.612888,Households
410050005,"$10,000 to $14,999",19.521764,Households
410050005,"$100,000 to $124,999",140.031347,Households
410050005,"$125,000 to $149,999",126.963184,Households
410050005,"$15,000 to $19,999",11.817423,Households
410050005,"$150,000 to $199,999",87.627421,Households
410050005,"$20,000 to $24,999",12.618881,Households
410050005,"$200,000 or more",89.468195,Households
410050005,"$25,000 to $29,999",36.607659999999996,Households
410050005,"$30,000 to $34,999",29.881174,Households
410050005,"$35,000 to $39,999",24.75643,Households
410050005,"$40,000 to $44,999",50.01014,Households
410050005,"$45,000 to $49,999",29.145569000000002,Households
410050005,"$50,000 to $59,999",69.627273,Households
410050005,"$60,000 to $74,999",113.387246,Households
410050005,"$75,000 to $99,999",212.106145,Households
410050005,"Less than $10,000",22.058235,Households
410050006,"$10,000 to $14,999",32.3623,Households
410050006,"$100,000 to $124,999",181.603031,Households
410050006,"$125,000 to $149,999",234.383354,Households
410050006,"$15,000 to $19,999",2.423613,Households
410050006,"$150,000 to $199,999",172.459804,Households
410050006,"$20,000 to $24,999",22.361379,Households
410050006,"$200,000 or more",121.50193800000001,Households
410050006,"$25,000 to $29,999",24.647858,Households
410050006,"$30,000 to $34,999",30.258440999999998,Households
410050006,"$35,000 to $39,999",18.984734,Households
410050006,"$40,000 to $44,999",39.386744,Households
410050006,"$45,000 to $49,999",43.509953,Households
410050006,"$50,000 to $59,999",57.466828,Households
410050006,"$60,000 to $74,999",168.694944,Households
410050006,"$75,000 to $99,999",308.74476699999997,Households
