precinct,hh_type_1,hh_type_2,estimate,units
410050000,Cohabiting couple household:,With no own children of the householder under 18 years,32.795066,Households
410050000,Cohabiting couple household:,With own children of the householder under 18 years,0.230745,Households
410050000,"Female householder, no spouse or partner present:",Living alone,120.42293500000001,Households
410050000,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050000,"Female householder, no spouse or partner present:",With own children under 18 years,17.860069,Households
410050000,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",9.628188,Households
410050000,"Male householder, no spouse or partner present:",Living alone,58.725315,Households
410050000,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050000,"Male householder, no spouse or partner present:",With own children under 18 years,15.653113000000001,Households
410050000,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",18.796011,Households
410050000,Married-couple household:,With no own children under 18 years,326.990926,Households
410050000,Married-couple household:,With own children under 18 years,222.486049,Households
410050001,Cohabiting couple household:,With no own children of the householder under 18 years,37.822049,Households
410050001,Cohabiting couple household:,With own children of the householder under 18 years,19.368563,Households
410050001,"Female householder, no spouse or partner present:",Living alone,88.586229,Households
410050001,"Female householder, no spouse or partner present:",With only nonrelatives present,15.906687,Households
410050001,"Female householder, no spouse or partner present:",With own children under 18 years,18.642018,Households
410050001,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",30.493277,Households
410050001,"Male householder, no spouse or partner present:",Living alone,57.451124,Households
410050001,"Male householder, no spouse or partner present:",With only nonrelatives present,12.134892,Households
410050001,"Male householder, no spouse or partner present:",With own children under 18 years,2.99802,Households
410050001,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",24.820297,Households
410050001,Married-couple household:,With no own children under 18 years,322.264698,Households
410050001,Married-couple household:,With own children under 18 years,200.854074,Households
410050002,Cohabiting couple household:,With no own children of the householder under 18 years,27.205192,Households
410050002,Cohabiting couple household:,With own children of the householder under 18 years,5.383021,Households
410050002,"Female householder, no spouse or partner present:",Living alone,62.433553,Households
410050002,"Female householder, no spouse or partner present:",With only nonrelatives present,1.578991,Households
410050002,"Female householder, no spouse or partner present:",With own children under 18 years,13.638888,Households
410050002,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",15.381808000000001,Households
410050002,"Male householder, no spouse or partner present:",Living alone,71.724559,Households
410050002,"Male householder, no spouse or partner present:",With only nonrelatives present,2.368304,Households
410050002,"Male householder, no spouse or partner present:",With own children under 18 years,2.372707,Households
410050002,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",10.431828,Households
410050002,Married-couple household:,With no own children under 18 years,194.074598,Households
410050002,Married-couple household:,With own children under 18 years,114.60278600000001,Households
410050003,Cohabiting couple household:,With no own children of the householder under 18 years,34.407133,Households
410050003,Cohabiting couple household:,With own children of the householder under 18 years,8.96944,Households
410050003,"Female householder, no spouse or partner present:",Living alone,119.847086,Households
410050003,"Female householder, no spouse or partner present:",With only nonrelatives present,9.892699,Households
410050003,"Female householder, no spouse or partner present:",With own children under 18 years,37.314389999999996,Households
410050003,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",79.676141,Households
410050003,"Male householder, no spouse or partner present:",Living alone,76.223767,Households
410050003,"Male householder, no spouse or partner present:",With only nonrelatives present,13.115336999999998,Households
410050003,"Male householder, no spouse or partner present:",With own children under 18 years,5.012313,Households
410050003,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",18.551947,Households
410050003,Married-couple household:,With no own children under 18 years,298.774696,Households
410050003,Married-couple household:,With own children under 18 years,203.497487,Households
410050004,Cohabiting couple household:,With no own children of the householder under 18 years,185.434016,Households
410050004,Cohabiting couple household:,With own children of the householder under 18 years,15.64966,Households
410050004,"Female householder, no spouse or partner present:",Living alone,292.030219,Households
410050004,"Female householder, no spouse or partner present:",With only nonrelatives present,25.515749999999997,Households
410050004,"Female householder, no spouse or partner present:",With own children under 18 years,57.39888,Households
410050004,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",91.022608,Households
410050004,"Male householder, no spouse or partner present:",Living alone,126.203115,Households
410050004,"Male householder, no spouse or partner present:",With only nonrelatives present,50.185578,Households
410050004,"Male householder, no spouse or partner present:",With own children under 18 years,19.978360000000002,Households
410050004,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",16.386357,Households
410050004,Married-couple household:,With no own children under 18 years,995.6953500000001,Households
410050004,Married-couple household:,With own children under 18 years,781.769777,Households
410050005,Cohabiting couple household:,With no own children of the householder under 18 years,50.865898,Households
410050005,Cohabiting couple household:,With own children of the householder under 18 years,21.95569,Households
410050005,"Female householder, no spouse or partner present:",Living alone,125.469877,Households
410050005,"Female householder, no spouse or partner present:",With only nonrelatives present,24.340165,Households
410050005,"Female householder, no spouse or partner present:",With own children under 18 years,35.424293,Households
410050005,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",44.811193,Households
410050005,"Male householder, no spouse or partner present:",Living alone,46.762661,Households
410050005,"Male householder, no spouse or partner present:",With only nonrelatives present,18.288672000000002,Households
410050005,"Male householder, no spouse or partner present:",With own children under 18 years,6.918866,Households
410050005,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",23.141996,Households
410050005,Married-couple household:,With no own children under 18 years,378.584183,Households
410050005,Married-couple household:,With own children under 18 years,299.064593,Households
410050006,Cohabiting couple household:,With no own children of the householder under 18 years,31.969435,Households
410050006,Cohabiting couple household:,With own children of the householder under 18 years,34.587951,Households
410050006,"Female householder, no spouse or partner present:",Living alone,156.306453,Households
410050006,"Female householder, no spouse or partner present:",With only nonrelatives present,5.042733,Households
410050006,"Female householder, no spouse or partner present:",With own children under 18 years,60.575430999999995,Households
410050006,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",87.353352,Households
410050006,"Male householder, no spouse or partner present:",Living alone,57.632132,Households
410050006,"Male householder, no spouse or partner present:",With only nonrelatives present,13.992377,Households
410050006,"Male householder, no spouse or partner present:",With own children under 18 years,5.79643,Households
410050006,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",43.20942599999999,Households
410050006,Married-couple household:,With no own children under 18 years,538.215604,Households
410050006,Married-couple household:,With own children under 18 years,440.51008699999994,Households
410050007,Cohabiting couple household:,With no own children of the householder under 18 years,50.492743000000004,Households
410050007,Cohabiting couple household:,With own children of the householder under 18 years,31.148739000000003,Households
410050007,"Female householder, no spouse or partner present:",Living alone,217.587928,Households
410050007,"Female householder, no spouse or partner present:",With only nonrelatives present,17.257376999999998,Households
410050007,"Female householder, no spouse or partner present:",With own children under 18 years,57.204547000000005,Households
410050007,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",37.360705,Households
410050007,"Male householder, no spouse or partner present:",Living alone,61.15283,Households
410050007,"Male householder, no spouse or partner present:",With only nonrelatives present,21.66817,Households
410050007,"Male householder, no spouse or partner present:",With own children under 18 years,10.641564,Households
410050007,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",4.906239,Households
410050007,Married-couple household:,With no own children under 18 years,324.85114100000004,Households
410050007,Married-couple household:,With own children under 18 years,313.732868,Households
410050010,Cohabiting couple household:,With no own children of the householder under 18 years,110,Households
410050010,Cohabiting couple household:,With own children of the householder under 18 years,0,Households
410050010,"Female householder, no spouse or partner present:",Living alone,140,Households
410050010,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050010,"Female householder, no spouse or partner present:",With own children under 18 years,0,Households
410050010,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",30,Households
410050010,"Male householder, no spouse or partner present:",Living alone,124,Households
410050010,"Male householder, no spouse or partner present:",With only nonrelatives present,26,Households
410050010,"Male householder, no spouse or partner present:",With own children under 18 years,24,Households
410050010,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",0,Households
410050010,Married-couple household:,With no own children under 18 years,498,Households
410050010,Married-couple household:,With own children under 18 years,248,Households
410050031,Cohabiting couple household:,With no own children of the householder under 18 years,35.459701,Households
410050031,Cohabiting couple household:,With own children of the householder under 18 years,36.731532,Households
410050031,"Female householder, no spouse or partner present:",Living alone,193.328515,Households
410050031,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050031,"Female householder, no spouse or partner present:",With own children under 18 years,116.068453,Households
410050031,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",32.191756,Households
410050031,"Male householder, no spouse or partner present:",Living alone,72.018333,Households
410050031,"Male householder, no spouse or partner present:",With only nonrelatives present,2.631447,Households
410050031,"Male householder, no spouse or partner present:",With own children under 18 years,39.797645,Households
410050031,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",10.178905,Households
410050031,Married-couple household:,With no own children under 18 years,260.143214,Households
410050031,Married-couple household:,With own children under 18 years,189.612772,Households
410050032,Cohabiting couple household:,With no own children of the householder under 18 years,72.359575,Households
410050032,Cohabiting couple household:,With own children of the householder under 18 years,18.889411,Households
410050032,"Female householder, no spouse or partner present:",Living alone,189.484593,Households
410050032,"Female householder, no spouse or partner present:",With only nonrelatives present,11.128413,Households
410050032,"Female householder, no spouse or partner present:",With own children under 18 years,35.884981,Households
410050032,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",29.557544,Households
410050032,"Male householder, no spouse or partner present:",Living alone,76.603498,Households
410050032,"Male householder, no spouse or partner present:",With only nonrelatives present,9.823968,Households
410050032,"Male householder, no spouse or partner present:",With own children under 18 years,41.398737000000004,Households
410050032,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",7.743425,Households
410050032,Married-couple household:,With no own children under 18 years,200.0668,Households
410050032,Married-couple household:,With own children under 18 years,75.258094,Households
410050033,Cohabiting couple household:,With no own children of the householder under 18 years,27.689441,Households
410050033,Cohabiting couple household:,With own children of the householder under 18 years,5.686907,Households
410050033,"Female householder, no spouse or partner present:",Living alone,67.326661,Households
410050033,"Female householder, no spouse or partner present:",With only nonrelatives present,16.531908,Households
410050033,"Female householder, no spouse or partner present:",With own children under 18 years,15.137568,Households
410050033,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",28.970196,Households
410050033,"Male householder, no spouse or partner present:",Living alone,60.066964999999996,Households
410050033,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410050033,"Male householder, no spouse or partner present:",With own children under 18 years,10.599931,Households
410050033,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",4.373819999999999,Households
410050033,Married-couple household:,With no own children under 18 years,276.393624,Households
410050033,Married-couple household:,With own children under 18 years,152.921886,Households
410050051,Cohabiting couple household:,With no own children of the householder under 18 years,44.659971000000006,Households
410050051,Cohabiting couple household:,With own children of the householder under 18 years,8.339982000000001,Households
410050051,"Female householder, no spouse or partner present:",Living alone,209.021597,Households
410050051,"Female householder, no spouse or partner present:",With only nonrelatives present,16.484180000000002,Households
410050051,"Female householder, no spouse or partner present:",With own children under 18 years,18.560113,Households
