precinct,simp_race,estimate,units
410050000,American Indian and Alaska Native alone,4.132796,People
410050000,Asian alone,64.458753,People
410050000,Black or African American alone,8.93178,People
410050000,Hispanic or Latinx,48.903473000000005,People
410050000,Native Hawaiian and Other Pacific Islander alone,0,People
410050000,Some other race alone,0.167908,People
410050000,Two or more races:,167.413006,People
410050000,White alone,1800.979286,People
410050001,American Indian and Alaska Native alone,29.529794000000003,People
410050001,Asian alone,5.5922089999999995,People
410050001,Black or African American alone,23.396005000000002,People
410050001,Hispanic or Latinx,92.160168,People
410050001,Native Hawaiian and Other Pacific Islander alone,1.194032,People
410050001,Some other race alone,3.3308560000000003,People
410050001,Two or more races:,192.90419400000002,People
410050001,White alone,2001.9762389999999,People
410050002,American Indian and Alaska Native alone,5.047663,People
410050002,Asian alone,59.774733000000005,People
410050002,Black or African American alone,10.35228,People
410050002,Hispanic or Latinx,64.787419,People
410050002,Native Hawaiian and Other Pacific Islander alone,0,People
410050002,Some other race alone,0.32613600000000004,People
410050002,Two or more races:,69.546054,People
410050002,White alone,1202.374762,People
410050003,American Indian and Alaska Native alone,37.139001,People
410050003,Asian alone,13.056697,People
410050003,Black or African American alone,20.371146,People
410050003,Hispanic or Latinx,146.51893,People
410050003,Native Hawaiian and Other Pacific Islander alone,3.362581,People
410050003,Some other race alone,3.2122089999999996,People
410050003,Two or more races:,142.429096,People
410050003,White alone,2229.1104139999998,People
410050004,American Indian and Alaska Native alone,41.992605,People
410050004,Asian alone,109.203226,People
410050004,Black or African American alone,20.974569000000002,People
410050004,Hispanic or Latinx,522.397503,People
410050004,Native Hawaiian and Other Pacific Islander alone,0,People
410050004,Some other race alone,56.84608599999999,People
410050004,Two or more races:,232.21254,People
410050004,White alone,6879.93447,People
410050005,American Indian and Alaska Native alone,24.414863,People
410050005,Asian alone,25.522318,People
410050005,Black or African American alone,38.062111,People
410050005,Hispanic or Latinx,161.03710700000002,People
410050005,Native Hawaiian and Other Pacific Islander alone,0.941504,People
410050005,Some other race alone,11.643630000000002,People
410050005,Two or more races:,241.932334,People
410050005,White alone,2705.372985,People
410050006,American Indian and Alaska Native alone,21.025942999999998,People
410050006,Asian alone,13.946876999999999,People
410050006,Black or African American alone,96.210928,People
410050006,Hispanic or Latinx,288.894142,People
410050006,Native Hawaiian and Other Pacific Islander alone,5.358017,People
410050006,Some other race alone,0.371635,People
410050006,Two or more races:,425.065464,People
410050006,White alone,3753.230105,People
410050007,American Indian and Alaska Native alone,21.294827,People
410050007,Asian alone,38.491343,People
410050007,Black or African American alone,4.305963,People
410050007,Hispanic or Latinx,116.000432,People
410050007,Native Hawaiian and Other Pacific Islander alone,19.448486,People
410050007,Some other race alone,51.481296,People
410050007,Two or more races:,174.165754,People
410050007,White alone,2906.261597,People
410050010,American Indian and Alaska Native alone,0,People
410050010,Asian alone,38,People
410050010,Black or African American alone,0,People
410050010,Hispanic or Latinx,60,People
410050010,Native Hawaiian and Other Pacific Islander alone,0,People
410050010,Some other race alone,0,People
410050010,Two or more races:,52,People
410050010,White alone,3014,People
410050031,American Indian and Alaska Native alone,25.56373,People
410050031,Asian alone,58.879890999999994,People
410050031,Black or African American alone,37.388534,People
410050031,Hispanic or Latinx,785.834619,People
410050031,Native Hawaiian and Other Pacific Islander alone,0,People
410050031,Some other race alone,1.28e-4,People
410050031,Two or more races:,156.753836,People
410050031,White alone,1947.0501689999999,People
410050032,American Indian and Alaska Native alone,4.521221,People
410050032,Asian alone,26.383084,People
410050032,Black or African American alone,18.001287,People
410050032,Hispanic or Latinx,246.498392,People
410050032,Native Hawaiian and Other Pacific Islander alone,8.9395,People
410050032,Some other race alone,1.399704,People
410050032,Two or more races:,106.766334,People
410050032,White alone,1488.782666,People
410050033,American Indian and Alaska Native alone,2.809262,People
410050033,Asian alone,30.600111,People
410050033,Black or African American alone,24.923575999999997,People
410050033,Hispanic or Latinx,108.28432199999999,People
410050033,Native Hawaiian and Other Pacific Islander alone,0.00394,People
410050033,Some other race alone,0,People
410050033,Two or more races:,97.554504,People
410050033,White alone,1667.304959,People
410050051,American Indian and Alaska Native alone,12.261004000000002,People
410050051,Asian alone,50.782129000000005,People
410050051,Black or African American alone,13.850050000000001,People
410050051,Hispanic or Latinx,214.408488,People
410050051,Native Hawaiian and Other Pacific Islander alone,0.614065,People
410050051,Some other race alone,3.5303150000000003,People
410050051,Two or more races:,57.41677000000001,People
410050051,White alone,1089.159499,People
410050052,American Indian and Alaska Native alone,7.165964000000001,People
410050052,Asian alone,65.35360800000001,People
410050052,Black or African American alone,7.779564,People
410050052,Hispanic or Latinx,192.247063,People
410050052,Native Hawaiian and Other Pacific Islander alone,17.091935,People
410050052,Some other race alone,5.053618999999999,People
410050052,Two or more races:,138.597654,People
410050052,White alone,1514.390383,People
410050053,American Indian and Alaska Native alone,3.666858,People
410050053,Asian alone,48.153898,People
410050053,Black or African American alone,5.5588180000000005,People
410050053,Hispanic or Latinx,81.416517,People
410050053,Native Hawaiian and Other Pacific Islander alone,0,People
410050053,Some other race alone,7.195285,People
410050053,Two or more races:,64.159128,People
410050053,White alone,1150.098159,People
410050054,American Indian and Alaska Native alone,0.009123999999999998,People
410050054,Asian alone,116.316802,People
410050054,Black or African American alone,2.85383,People
410050054,Hispanic or Latinx,125.50332999999999,People
410050054,Native Hawaiian and Other Pacific Islander alone,0.012403999999999998,People
410050054,Some other race alone,0,People
410050054,Two or more races:,171.36468,People
410050054,White alone,1672.0730489999999,People
410050055,American Indian and Alaska Native alone,4.443148,People
410050055,Asian alone,30.428106,People
410050055,Black or African American alone,16.779501999999997,People
410050055,Hispanic or Latinx,176.170477,People
410050055,Native Hawaiian and Other Pacific Islander alone,0,People
410050055,Some other race alone,0,People
410050055,Two or more races:,53.410906000000004,People
410050055,White alone,1315.9762190000001,People
410050070,American Indian and Alaska Native alone,0,People
410050070,Asian alone,294,People
410050070,Black or African American alone,0,People
410050070,Hispanic or Latinx,318,People
410050070,Native Hawaiian and Other Pacific Islander alone,0,People
410050070,Some other race alone,0,People
410050070,Two or more races:,504,People
410050070,White alone,3702,People
410050071,American Indian and Alaska Native alone,22.999647,People
410050071,Asian alone,76.001849000000007,People
410050071,Black or African American alone,14.99976,People
410050071,Hispanic or Latinx,168.998151,People
410050071,Native Hawaiian and Other Pacific Islander alone,0,People
410050071,Some other race alone,0,People
410050071,Two or more races:,75.998814,People
410050071,White alone,1158.001886,People
410050072,American Indian and Alaska Native alone,20.74033,People
410050072,Asian alone,256.09981,People
410050072,Black or African American alone,44.314907,People
410050072,Hispanic or Latinx,1560.77721,People
410050072,Native Hawaiian and Other Pacific Islander alone,72.009035,People
410050072,Some other race alone,74.055091,People
410050072,Two or more races:,716.356666,People
410050072,White alone,7705.0284520000005,People
410050073,American Indian and Alaska Native alone,76.15564499999999,People
410050073,Asian alone,1552.32378,People
410050073,Black or African American alone,261.999164,People
410050073,Hispanic or Latinx,871.013285,People
410050073,Native Hawaiian and Other Pacific Islander alone,0.020018,People
410050073,Some other race alone,1.6e-5,People
410050073,Two or more races:,2226.568476,People
410050073,White alone,9273.732304,People
410050074,American Indian and Alaska Native alone,75.991208,People
410050074,Asian alone,133.294218,People
410050074,Black or African American alone,86.99277799999999,People
410050074,Hispanic or Latinx,41.074104,People
410050074,Native Hawaiian and Other Pacific Islander alone,0,People
410050074,Some other race alone,0,People
410050074,Two or more races:,595.944108,People
410050074,White alone,1881.512448,People
410050100,American Indian and Alaska Native alone,0,People
410050100,Asian alone,191.19445000000002,People
410050100,Black or African American alone,0.37559200000000004,People
410050100,Hispanic or Latinx,219.87479000000002,People
410050100,Native Hawaiian and Other Pacific Islander alone,0.266868,People
410050100,Some other race alone,0,People
410050100,Two or more races:,171.42610800000003,People
410050100,White alone,1201.471352,People
410050101,American Indian and Alaska Native alone,8.518228,People
410050101,Asian alone,1785.712692,People
410050101,Black or African American alone,72.6842,People
410050101,Hispanic or Latinx,631.261397,People
410050101,Native Hawaiian and Other Pacific Islander alone,20.749739,People
410050101,Some other race alone,0,People
410050101,Two or more races:,429.590406,People
410050101,White alone,6208.365177,People
410050102,American Indian and Alaska Native alone,37.638321,People
410050102,Asian alone,474.198079,People
410050102,Black or African American alone,65.44855,People
410050102,Hispanic or Latinx,585.2042289999999,People
410050102,Native Hawaiian and Other Pacific Islander alone,20.966158,People
410050102,Some other race alone,0,People
410050102,Two or more races:,220.055456,People
410050102,White alone,4554.086649999999,People
410050103,American Indian and Alaska Native alone,86.849539,People
410050103,Asian alone,625.458296,People
410050103,Black or African American alone,139.736583,People
410050103,Hispanic or Latinx,236.53523900000002,People
410050103,Native Hawaiian and Other Pacific Islander alone,1.806707,People
410050103,Some other race alone,0,People
410050103,Two or more races:,1068.717146,People
410050103,White alone,4279.962019,People
410050104,American Indian and Alaska Native alone,76.176256,People
410050104,Asian alone,1341.489592,People
410050104,Black or African American alone,101.1836,People
410050104,Hispanic or Latinx,367.8164,People
410050104,Native Hawaiian and Other Pacific Islander alone,23.911872,People
410050104,Some other race alone,0,People
410050104,Two or more races:,948.242352,People
410050104,White alone,5099.086912,People
410050105,American Indian and Alaska Native alone,57.110868999999994,People
410050105,Asian alone,537.556661,People
410050105,Black or African American alone,99.917452,People
410050105,Hispanic or Latinx,507.17467400000004,People
410050105,Native Hawaiian and Other Pacific Islander alone,1.7635610000000002,People
410050105,Some other race alone,0,People
410050105,Two or more races:,1120.290504,People
410050105,White alone,5193.834571,People
410050106,American Indian and Alaska Native alone,3.469296,People
410050106,Asian alone,15.538136,People
410050106,Black or African American alone,0.902392,People
410050106,Hispanic or Latinx,64.969494,People
410050106,Native Hawaiian and Other Pacific Islander alone,0,People
410050106,Some other race alone,0,People
410050106,Two or more races:,68.80208400000001,People
410050106,White alone,1917.734368,People
410050107,American Indian and Alaska Native alone,25.587618,People
410050107,Asian alone,113.556588,People
410050107,Black or African American alone,34.754419,People
410050107,Hispanic or Latinx,360.306458,People
410050107,Native Hawaiian and Other Pacific Islander alone,0,People
410050107,Some other race alone,0,People
410050107,Two or more races:,529.240704,People
410050107,White alone,4918.518957,People
410050108,American Indian and Alaska Native alone,11.736137,People
410050108,Asian alone,257.249818,People
410050108,Black or African American alone,17.759367,People
410050108,Hispanic or Latinx,740.265322,People
410050108,Native Hawaiian and Other Pacific Islander alone,0,People
410050108,Some other race alone,0,People
410050108,Two or more races:,561.990846,People
410050108,White alone,6342.306326,People
410050111,American Indian and Alaska Native alone,9.202992,People
410050111,Asian alone,33.675736,People
410050111,Black or African American alone,12.945088,People
410050111,Hispanic or Latinx,523.9062739999999,People
410050111,Native Hawaiian and Other Pacific Islander alone,0,People
410050111,Some other race alone,0,People
410050111,Two or more races:,132.713036,People
410050111,White alone,2569.744748,People
410050122,American Indian and Alaska Native alone,16.983196999999997,People
410050122,Asian alone,32.548425,People
410050122,Black or African American alone,17.113672,People
410050122,Hispanic or Latinx,409.328629,People
410050122,Native Hawaiian and Other Pacific Islander alone,0,People
410050122,Some other race alone,0,People
